Head,Macro_F1,Micro_F1,Macro_Precision,Micro_Precision,Macro_Recall,Micro_Recall,mAP,L_bce,L_consistency,L_path,CHL
categories,0.3557985411334543,0.6604894274174388,0.3512358991833106,0.6757413709285367,0.397514250020077,0.645910780669145,0.3992033227773436,,,,
subcategories,0.5810111418686643,0.6928817911885081,0.5083673113787319,0.5747570230328851,0.9012311501960162,0.8721212121212121,0.7114644672514251,,,,
attr_groups,0.793778079295943,0.9429034217452926,0.7863473953622758,0.9325190228273929,0.8435232225640896,0.9535217035217035,0.8256039780190153,,,,
attributes,0.04676530180888088,0.4531474561655648,0.07101021205944749,0.5445595854922279,0.05024709837803644,0.38801378291902533,0.09706628840406567,,,,
CompositeLoss,,,,,,,,0.3867724804501784,0.062478256853003254,0.27441411739901495,0.3994330152084953
OverallModel,0.12622430908713284,0.6634102041939567,0.14265587546402114,0.6838865248226951,0.14642377871797088,0.6441244054935071,0.1777412093768027,,,,
attr_group_nickname,0.0075,0.1784,0.0287,,0.0103,,0.0586,153.0,3015.0,,
attr_group_silhouette,0.0578,0.4804,0.095,,0.0466,,0.146,25.0,3046.0,,
attr_group_waistline,0.2468,0.4388,0.2147,,0.3182,,0.2929,7.0,1442.0,,
attr_group_length,0.2063,0.4698,0.264,,0.1982,,0.3038,15.0,2392.0,,
attr_group_neckline_type,0.0186,0.0551,0.0465,,0.0119,,0.0492,25.0,915.0,,
attr_group_opening_type,0.1847,0.504,0.1583,,0.2456,,0.2364,10.0,1091.0,,
attr_group_non_textile_material_type,0.1033,0.793,0.1375,,0.0895,,0.1122,10.0,1199.0,,
attr_group_leather,0.0,0.0,0.0,,0.0,,0.0013,4.0,6.0,,
attr_group_textile_finishing_manufacturing_techniques,0.071,0.4495,0.127,,0.0834,,0.1161,21.0,1631.0,,
attr_group_textile_pattern,0.0662,0.6539,0.0846,,0.0633,,0.0834,18.0,1496.0,,
attr_group_animal,0.0513,0.129,0.0556,,0.0476,,0.1089,6.0,19.0,,
attr_group_nickname_group,0.0075,0.1784,0.0287,,0.0103,,0.0586,153.0,3015.0,,
attr_group_non_nickname_groups,0.0894,0.4978,0.1169,,0.0936,,0.1388,141.0,13237.0,,
HVR,,,,,,,,0.9196891191709845,0.9196891191709845,0.0,0.0
